Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
1963	septiembre	SENAMHI	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	0.0  
    	octubre   	SENAMHI	0.4 	0.7 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.0 	3.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	1.5 	0.0 	0.0 	14.7 
    	noviembre 	SENAMHI	2.8 	1.2 	17.9	5.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.5 	0.0 	6.4 	12.8	8.2 	6.5 	0.0 	0.0 	5.9 	2.0 	3.8 	0.0 	0.0 	6.2 	    	87.3 
    	diciembre 	SENAMHI	4.7 	0.0 	0.0 	5.1 	0.0 	0.0 	12.5	15.4	0.0 	11.3	4.1 	3.3 	6.8 	0.0 	0.0 	0.0 	0.0 	0.0 	2.9 	8.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	74.4 
1964	enero     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.8 	0.0 	2.6 	13.5	0.0 	0.0 	5.2 	2.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.6 	2.8 	9.4 	50.4 
    	febrero   	SENAMHI	10.2	11.5	8.3 	9.2 	9.4 	13.5	3.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.2 	3.5 	13.6	2.5 	7.2 	6.2 	9.3 	7.5 	28.4	6.2 	6.4 	0.0 	0.0 	0.0 	0.0 	9.5 	    	    	168.8
    	marzo     	SENAMHI	6.4 	2.7 	0.0 	0.0 	8.2 	10.7	4.5 	8.3 	2.1 	15.7	0.0 	0.0 	0.0 	7.2 	18.4	0.8 	21.2	16.5	11.2	0.0 	14.7	4.2 	0.0 	0.0 	0.0 	0.0 	8.2 	0.0 	0.0 	0.0 	8.7 	169.7
    	abril     	SENAMHI	0.0 	0.0 	0.0 	0.0 	2.8 	18.5	0.0 	0.0 	0.0 	4.2 	0.5 	10.7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	36.7 
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0  
    	septiembre	SENAMHI	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	1.1 	0.0 	0.0 	0.0 	0.0 	0.7 	0.0 	0.9 	0.0 	1.8 	0.0 	2.4 	0.0 	0.0 	0.0 	0.0 	6.4 	8.3 	0.0 	3.5 	0.0 	0.0 	0.0 	0.0 	    	27.1 
    	octubre   	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	12.4	0.0 	8.2 	4.2 	25.6 
    	noviembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.5 	0.0 	0.0 	0.0 	7.5 	0.0 	6.2 	0.0 	0.0 	0.0 	0.0 	0.0 	    	23.4 
    	diciembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.4 	3.1 	6.3 	0.0 	3.4 	0.0 	0.0 	0.0 	2.8 	8.6 	4.1 	10.1	11.2	0.0 	0.0 	0.0 	0.0 	0.0 	52.0 
1965	enero     	SENAMHI	0.0 	0.0 	5.2 	2.1 	8.4 	3.7 	0.0 	18.4	5.8 	0.0 	0.0 	4.2 	0.0 	0.0 	3.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.6 	7.0 	12.3	2.4 	0.0 	0.0 	0.0 	0.0 	0.0 	76.0 
    	febrero   	SENAMHI	3.7 	2.4 	15.6	0.0 	0.0 	0.0 	0.0 	0.0 	9.9 	11.7	44.3	7.9 	10.4	0.0 	3.6 	10.5	5.2 	9.3 	6.9 	16.4	10.2	10.4	7.5 	10.2	13.5	0.0 	1.4 	9.9 	    	    	    	220.9
    	marzo     	SENAMHI	14.3	7.5 	7.3 	5.2 	2.4 	0.0 	0.0 	0.0 	0.0 	0.0 	6.4 	3.5 	7.9 	2.6 	4.7 	18.2	4.7 	0.0 	0.0 	0.0 	0.0 	5.2 	2.4 	18.7	0.0 	2.4 	3.7 	1.8 	0.0 	0.0 	0.0 	118.9
    	abril     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.8 	0.0 	    	9.2  
