Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
1963	octubre   	SENAMHI	0.0 	2.3 	3.3 	0.0 	1.3 	1.5 	3.1 	0.0 	0.0 	0.0 	2.6 	0.0 	0.0 	0.0 	0.0 	7.6 	1.7 	0.0 	0.0 	0.0 	2.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.7 	7.7 	1.1 	5.6 	43.8 
    	noviembre 	SENAMHI	3.2 	9.6 	10.7	6.6 	6.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.1 	2.2 	5.0 	4.1 	9.0 	11.0	11.0	6.2 	5.2 	2.3 	2.1 	6.9 	6.2 	9.4 	9.7 	5.3 	    	137.8
1964	enero     	SENAMHI	0.0 	0.0 	3.0 	0.0 	0.0 	2.2 	3.9 	4.5 	5.0 	0.0 	0.0 	0.0 	3.1 	5.3 	4.4 	7.5 	0.0 	13.4	0.0 	0.0 	0.0 	1.3 	2.3 	3.0 	1.9 	0.0 	0.0 	3.0 	10.3	7.6 	8.2 	89.9 
    	febrero   	SENAMHI	3.4 	7.4 	13.0	13.4	12.0	21.9	5.8 	5.0 	2.6 	0.0 	0.0 	0.0 	0.0 	0.0 	8.4 	6.1 	2.4 	9.1 	8.5 	5.2 	0.0 	0.0 	0.0 	3.0 	5.7 	0.0 	7.6 	9.0 	10.2	    	    	159.7
    	marzo     	SENAMHI	12.0	14.3	13.0	5.8 	2.1 	0.0 	0.0 	3.0 	0.9 	3.9 	7.4 	4.2 	4.4 	9.0 	6.5 	10.2	2.2 	6.5 	9.8 	4.5 	11.0	4.8 	6.3 	7.4 	6.0 	12.7	8.7 	12.8	12.6	1.4 	8.7 	212.1
    	abril     	SENAMHI	6.3 	5.5 	0.0 	0.0 	0.0 	0.0 	25.4	8.7 	3.4 	0.0 	0.0 	11.5	10.1	0.8 	3.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.4 	2.3 	0.0 	1.3 	4.3 	5.3 	3.1 	0.0 	0.0 	0.0 	    	93.4 
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.3 	7.2 	4.3 	2.3 	3.7 	2.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	21.1 
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	6.5  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0  
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.1 	0.0 	0.0 	1.1  
    	septiembre	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.3 	0.0 	1.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.9 	0.0 	0.0 	0.0 	0.0 	0.0 	5.3 	0.0 	0.0 	0.0 	0.0 	0.0 	    	10.0 
    	octubre   	SENAMHI	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.4 	0.0 	0.0 	0.0 	7.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	6.0 	22.0	3.1 	4.3 	49.8 
    	noviembre 	SENAMHI	1.4 	3.1 	2.2 	0.0 	0.0 	0.0 	0.0 	0.0 	3.5 	7.7 	11.8	4.4 	5.1 	0.0 	0.0 	0.0 	0.0 	10.6	0.0 	9.8 	0.0 	0.0 	0.0 	0.0 	6.6 	2.1 	0.0 	0.0 	0.0 	0.0 	    	68.3 
    	diciembre 	SENAMHI	0.0 	7.5 	0.0 	3.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.2 	2.4 	6.7 	0.0 	0.0 	0.0 	9.0 	3.3 	23.6	0.0 	6.4 	9.7 	0.0 	0.0 	0.0 	0.0 	75.3 
1965	enero     	SENAMHI	0.0 	0.0 	0.0 	9.7 	21.3	8.2 	9.9 	10.6	7.4 	1.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.3 	8.2 	7.0 	0.0 	0.0 	0.0 	0.0 	0.0 	98.1 
    	febrero   	SENAMHI	1.3 	6.6 	3.1 	19.4	11.6	6.7 	10.4	4.3 	8.5 	14.1	13.6	24.2	14.4	3.3 	2.4 	8.8 	14.5	12.6	13.4	4.6 	3.1 	0.0 	12.3	3.1 	9.4 	0.0 	14.5	34.5	    	    	    	274.7
    	marzo     	SENAMHI	7.8 	17.3	10.3	1.2 	1.5 	1.6 	0.0 	0.0 	2.0 	0.0 	0.0 	6.1 	6.4 	2.0 	3.2 	2.4 	9.0 	18.0	16.0	0.0 	3.0 	3.9 	0.0 	0.0 	2.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	114.3
    	abril     	SENAMHI	5.0 	7.4 	3.2 	2.2 	0.0 	0.0 	0.0 	1.0 	1.5 	0.0 	0.0 	0.0 	2.2 	2.9 	10.3	4.3 	6.1 	6.0 	0.0 	3.1 	0.0 	0.0 	0.0 	5.0 	1.6 	3.3 	0.0 	0.0 	2.2 	0.0 	    	67.3 
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	8.9 	6.3 	9.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.2 	0.0 	29.5 
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	0.0  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.1 	1.1 	1.0 	3.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7.6  
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.1 	0.0 	1.1  
    	septiembre	SENAMHI	0.0 	3.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	3.1  
    	octubre   	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.1 	1.2 	2.5 	4.1 	6.7 	9.8 	17.4	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	44.8 
    	noviembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	2.1 	1.1 	4.2 	2.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	10.1 
    	diciembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	4.2 	0.0 	1.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.6 	3.3 	2.7 	4.5 	10.9	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	10.3	7.0 	8.8 	7.9 	18.5	6.7 	90.7 
1966	enero     	SENAMHI	11.1	12.8	0.0 	8.2 	3.5 	1.4 	1.6 	2.3 	10.7	3.3 	5.8 	0.0 	2.9 	3.0 	0.0 	0.0 	0.0 	11.5	0.0 	8.0 	0.0 	12.0	5.2 	4.3 	2.6 	0.0 	7.8 	13.0	10.4	9.0 	9.2 	159.6
    	febrero   	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.2 	0.0 	0.0 	0.0 	1.7 	0.8 	6.0 	19.1	1.2 	1.6 	0.0 	4.2 	9.2 	6.3 	23.4	11.6	5.4 	5.2 	3.3 	5.3 	9.8 	    	    	    	115.3
