Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
1986	noviembre 	SENAMHI	3.5 	5.4 	5.0 	3.0 	10.5	8.4 	6.1 	6.8 	0.0 	2.3 	0.0 	0.0 	0.0 	0.0 	0.0 	1.1 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	54.1 
    	diciembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.8 	2.3 	4.0 	2.0 	12.3	5.3 	6.3 	5.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.5 	2.5 	3.5 	14.0	7.2 	18.0	12.2	14.5	11.6	9.1 	9.1 	16.5	158.7
1987	enero     	SENAMHI	37.6	7.3 	12.6	11.7	7.6 	16.1	0.0 	0.0 	0.0 	7.1 	10.2	6.0 	1.0 	1.2 	3.7 	5.0 	11.0	15.5	12.1	9.1 	7.3 	8.6 	12.4	15.0	17.6	18.0	29.2	16.5	9.3 	2.5 	4.1 	315.3
    	febrero   	SENAMHI	1.8 	3.5 	9.5 	8.2 	3.0 	14.0	18.0	4.5 	17.4	12.4	4.5 	13.7	2.5 	0.0 	5.3 	6.4 	1.0 	0.0 	5.0 	3.0 	0.0 	2.0 	0.0 	0.0 	24.5	13.0	1.5 	6.0 	    	    	    	180.7
    	marzo     	SENAMHI	4.0 	0.0 	0.0 	0.0 	1.0 	20.0	11.0	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9.2 	2.0 	2.1 	0.0 	0.0 	0.0 	8.0 	24.0	6.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.5 	0.0 	89.8 
    	abril     	SENAMHI	0.0 	0.0 	5.0 	6.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.1 	8.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.1 	3.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.5 	3.2 	    	39.1 
    	mayo      	SENAMHI	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.3 	0.0 	0.0 	1.5 	5.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	12.0 
    	junio     	SENAMHI	0.0 	0.0 	0.0 	1.5 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.5 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.5 	2.5 	0.0 	0.0 	0.0 	3.5 	0.0 	0.0 	0.0 	0.0 	2.0 	    	20.5 
    	julio     	SENAMHI	16.3	30.8	12.0	2.5 	0.0 	9.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	70.6 
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.9 	4.4 	3.8 	1.8 	0.9 	0.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	13.2 
    	septiembre	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.7 	0.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.3 	0.0 	0.0 	0.0 	1.8 	0.0 	0.0 	    	10.7 
