Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
1963	septiembre	SENAMHI	0.0 	0.0 	0.0 	0.0 	12.4	15.2	12.8	9.1 	12.1	5.4 	15.8	6.5 	7.5 	10.5	14.5	11.2	17.6	0.0 	0.0 	0.0 	5.4 	0.0 	0.4 	0.0 	9.2 	10.4	12.3	15.8	9.1 	13.4	    	226.6
1964	agosto    	SENAMHI	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	    	0.0 	0.0  
    	septiembre	SENAMHI	0.0 	3.2 	4.4 	5.6 	3.2 	6.1 	2.6 	5.5 	6.4 	3.8 	0.0 	0.0 	5.9 	0.0 	10.5	8.7 	0.0 	0.0 	0.0 	6.2 	4.8 	3.2 	7.3 	0.0 	8.8 	9.7 	10.8	0.0 	0.0 	4.2 	    	120.9
    	octubre   	SENAMHI	0.0 	5.7 	9.2 	12.4	15.3	16.4	12.2	8.4 	13.5	5.2 	8.2 	5.4 	9.2 	6.3 	0.0 	8.1 	5.7 	10.2	9.4 	6.6 	4.2 	0.0 	6.7 	12.8	8.2 	7.6 	0.0 	10.1	8.2 	6.4 	9.8 	241.4
1965	enero     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.2 	2.5 	3.2 	0.0 	0.0 	0.0 	11.2 
    	febrero   	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	    	    	0.0  
    	marzo     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.2 	7.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	15.8 
    	abril     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.3 	0.0 	0.0 	0.0 	3.2 	0.0 	0.0 	0.0 	0.0 	0.0 	4.6 	3.2 	2.2 	0.0 	0.0 	5.1 	3.4 	0.0 	4.2 	0.0 	    	28.2 
    	mayo      	SENAMHI	4.2 	1.9 	2.5 	0.0 	3.4 	0.0 	0.0 	5.8 	0.0 	0.0 	5.2 	0.0 	0.0 	0.0 	0.0 	4.4 	6.2 	0.0 	0.0 	0.0 	5.3 	0.0 	0.0 	6.4 	0.0 	0.0 	0.0 	3.2 	4.3 	5.4 	6.2 	64.4 
    	junio     	SENAMHI	0.0 	0.0 	7.5 	4.7 	2.2 	0.0 	5.1 	4.3 	6.1 	3.3 	5.1 	6.3 	0.0 	8.4 	3.2 	0.0 	0.0 	0.0 	5.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	61.5 
